matchup,score,away,home,away_score,home_score,home_win
Orlando Magic at Indiana Pacers,87 - 97,Orlando Magic,Indiana Pacers,87,97,1
Chicago Bulls at Miami Heat,95 - 107,Chicago Bulls,Miami Heat,95,107,1
Los Angeles Clippers at Los Angeles Lakers,103 - 116,Los Angeles Clippers,Los Angeles Lakers,103,116,1
Atlanta Hawks at Dallas Mavericks,109 - 118,Atlanta Hawks,Dallas Mavericks,109,118,1
Memphis Grizzlies at San Antonio Spurs,94 - 101,Memphis Grizzlies,San Antonio Spurs,94,101,1
Oklahoma City Thunder at Utah Jazz,101 - 98,Oklahoma City Thunder,Utah Jazz,101,98,0
Portland Trail Blazers at Phoenix Suns,91 - 104,Portland Trail Blazers,Phoenix Suns,91,104,1
Denver Nuggets at Sacramento Kings,88 - 90,Denver Nuggets,Sacramento Kings,88,90,1
Los Angeles Lakers at Golden State Warriors,94 - 125,Los Angeles Lakers,Golden State Warriors,94,125,1
Indiana Pacers at New Orleans Pelicans,95 - 90,Indiana Pacers,New Orleans Pelicans,95,90,0
Orlando Magic at Minnesota Timberwolves,115 - 120,Orlando Magic,Minnesota Timberwolves,115,120,1
Charlotte Bobcats at Houston Rockets,83 - 96,Charlotte Bobcats,Houston Rockets,83,96,1
Milwaukee Bucks at New York Knicks,83 - 90,Milwaukee Bucks,New York Knicks,83,90,1
Washington Wizards at Detroit Pistons,102 - 113,Washington Wizards,Detroit Pistons,102,113,1
Boston Celtics at Toronto Raptors,87 - 93,Boston Celtics,Toronto Raptors,87,93,1
Miami Heat at Philadelphia 76ers,110 - 114,Miami Heat,Philadelphia 76ers,110,114,1
Brooklyn Nets at Cleveland Cavaliers,94 - 98,Brooklyn Nets,Cleveland Cavaliers,94,98,1
New York Knicks at Chicago Bulls,81 - 82,New York Knicks,Chicago Bulls,81,82,1
Golden State Warriors at Los Angeles Clippers,115 - 126,Golden State Warriors,Los Angeles Clippers,115,126,1
Cleveland Cavaliers at Charlotte Bobcats,84 - 90,Cleveland Cavaliers,Charlotte Bobcats,84,90,1
San Antonio Spurs at Los Angeles Lakers,91 - 85,San Antonio Spurs,Los Angeles Lakers,91,85,0
Los Angeles Clippers at Sacramento Kings,110 - 101,Los Angeles Clippers,Sacramento Kings,110,101,0
Utah Jazz at Phoenix Suns,84 - 87,Utah Jazz,Phoenix Suns,84,87,1
Portland Trail Blazers at Denver Nuggets,113 - 98,Portland Trail Blazers,Denver Nuggets,113,98,0
Miami Heat at Brooklyn Nets,100 - 101,Miami Heat,Brooklyn Nets,100,101,1
Oklahoma City Thunder at Minnesota Timberwolves,81 - 100,Oklahoma City Thunder,Minnesota Timberwolves,81,100,1
Detroit Pistons at Memphis Grizzlies,108 - 111,Detroit Pistons,Memphis Grizzlies,108,111,1
New Orleans Pelicans at Orlando Magic,90 - 110,New Orleans Pelicans,Orlando Magic,90,110,1
Philadelphia 76ers at Washington Wizards,109 - 102,Philadelphia 76ers,Washington Wizards,109,102,0
Toronto Raptors at Atlanta Hawks,95 - 102,Toronto Raptors,Atlanta Hawks,95,102,1
Milwaukee Bucks at Boston Celtics,105 - 98,Milwaukee Bucks,Boston Celtics,105,98,0
Dallas Mavericks at Houston Rockets,105 - 113,Dallas Mavericks,Houston Rockets,105,113,1
Sacramento Kings at Golden State Warriors,87 - 98,Sacramento Kings,Golden State Warriors,87,98,1
San Antonio Spurs at Portland Trail Blazers,105 - 115,San Antonio Spurs,Portland Trail Blazers,105,115,1
Houston Rockets at Utah Jazz,104 - 93,Houston Rockets,Utah Jazz,104,93,0
Toronto Raptors at Milwaukee Bucks,97 - 90,Toronto Raptors,Milwaukee Bucks,97,90,0
Memphis Grizzlies at Dallas Mavericks,99 - 111,Memphis Grizzlies,Dallas Mavericks,99,111,1
Charlotte Bobcats at New Orleans Pelicans,84 - 105,Charlotte Bobcats,New Orleans Pelicans,84,105,1
Chicago Bulls at Philadelphia 76ers,104 - 107,Chicago Bulls,Philadelphia 76ers,104,107,1
Cleveland Cavaliers at Indiana Pacers,74 - 89,Cleveland Cavaliers,Indiana Pacers,74,89,1
Atlanta Hawks at Los Angeles Lakers,103 - 105,Atlanta Hawks,Los Angeles Lakers,103,105,1
Minnesota Timberwolves at New York Knicks,109 - 100,Minnesota Timberwolves,New York Knicks,109,100,0
Phoenix Suns at Oklahoma City Thunder,96 - 103,Phoenix Suns,Oklahoma City Thunder,96,103,1
Brooklyn Nets at Orlando Magic,86 - 107,Brooklyn Nets,Orlando Magic,86,107,1
Washington Wizards at Miami Heat,93 - 103,Washington Wizards,Miami Heat,93,103,1
Boston Celtics at Detroit Pistons,77 - 87,Boston Celtics,Detroit Pistons,77,87,1
Houston Rockets at Los Angeles Clippers,118 - 137,Houston Rockets,Los Angeles Clippers,118,137,1
Boston Celtics at Memphis Grizzlies,88 - 95,Boston Celtics,Memphis Grizzlies,88,95,1
Golden State Warriors at Philadelphia 76ers,110 - 90,Golden State Warriors,Philadelphia 76ers,110,90,0
Minnesota Timberwolves at Cleveland Cavaliers,92 - 93,Minnesota Timberwolves,Cleveland Cavaliers,92,93,1
Atlanta Hawks at Sacramento Kings,105 - 100,Atlanta Hawks,Sacramento Kings,105,100,0
Houston Rockets at Portland Trail Blazers,116 - 101,Houston Rockets,Portland Trail Blazers,116,101,0
San Antonio Spurs at Denver Nuggets,102 - 94,San Antonio Spurs,Denver Nuggets,102,94,0
Los Angeles Lakers at Dallas Mavericks,104 - 123,Los Angeles Lakers,Dallas Mavericks,104,123,1
Phoenix Suns at New Orleans Pelicans,104 - 98,Phoenix Suns,New Orleans Pelicans,104,98,0
Charlotte Bobcats at New York Knicks,102 - 97,Charlotte Bobcats,New York Knicks,102,97,0
Indiana Pacers at Detroit Pistons,99 - 91,Indiana Pacers,Detroit Pistons,99,91,0
Utah Jazz at Brooklyn Nets,88 - 104,Utah Jazz,Brooklyn Nets,88,104,1
Miami Heat at Toronto Raptors,104 - 95,Miami Heat,Toronto Raptors,104,95,0
Dallas Mavericks at Oklahoma City Thunder,93 - 107,Dallas Mavericks,Oklahoma City Thunder,93,107,1
Phoenix Suns at San Antonio Spurs,96 - 99,Phoenix Suns,San Antonio Spurs,96,99,1
Golden State Warriors at Minnesota Timberwolves,106 - 93,Golden State Warriors,Minnesota Timberwolves,106,93,0
Cleveland Cavaliers at Milwaukee Bucks,104 - 109,Cleveland Cavaliers,Milwaukee Bucks,104,109,1
New Orleans Pelicans at Memphis Grizzlies,99 - 84,New Orleans Pelicans,Memphis Grizzlies,99,84,0
Utah Jazz at Boston Celtics,87 - 97,Utah Jazz,Boston Celtics,87,97,1
Washington Wizards at Philadelphia 76ers,116 - 102,Washington Wizards,Philadelphia 76ers,116,102,0
Los Angeles Clippers at Orlando Magic,90 - 98,Los Angeles Clippers,Orlando Magic,90,98,1
Chicago Bulls at Indiana Pacers,80 - 97,Chicago Bulls,Indiana Pacers,80,97,1
Toronto Raptors at Charlotte Bobcats,90 - 92,Toronto Raptors,Charlotte Bobcats,90,92,1
Los Angeles Lakers at Houston Rockets,99 - 98,Los Angeles Lakers,Houston Rockets,99,98,0
Atlanta Hawks at Denver Nuggets,107 - 109,Atlanta Hawks,Denver Nuggets,107,109,1
Los Angeles Clippers at Miami Heat,97 - 102,Los Angeles Clippers,Miami Heat,97,102,1
Sacramento Kings at Portland Trail Blazers,91 - 104,Sacramento Kings,Portland Trail Blazers,91,104,1
Denver Nuggets at Phoenix Suns,103 - 114,Denver Nuggets,Phoenix Suns,103,114,1
Golden State Warriors at San Antonio Spurs,74 - 76,Golden State Warriors,San Antonio Spurs,74,76,1
Los Angeles Lakers at New Orleans Pelicans,85 - 96,Los Angeles Lakers,New Orleans Pelicans,85,96,1
Dallas Mavericks at Minnesota Timberwolves,108 - 116,Dallas Mavericks,Minnesota Timberwolves,108,116,1
Utah Jazz at Chicago Bulls,73 - 97,Utah Jazz,Chicago Bulls,73,97,1
Oklahoma City Thunder at Detroit Pistons,119 - 110,Oklahoma City Thunder,Detroit Pistons,119,110,0
New York Knicks at Charlotte Bobcats,101 - 91,New York Knicks,Charlotte Bobcats,101,91,0
Toronto Raptors at Indiana Pacers,84 - 91,Toronto Raptors,Indiana Pacers,84,91,1
Boston Celtics at Orlando Magic,91 - 89,Boston Celtics,Orlando Magic,91,89,0
Cleveland Cavaliers at Philadelphia 76ers,79 - 94,Cleveland Cavaliers,Philadelphia 76ers,79,94,1
Brooklyn Nets at Washington Wizards,108 - 112,Brooklyn Nets,Washington Wizards,108,112,1
Portland Trail Blazers at Sacramento Kings,96 - 85,Portland Trail Blazers,Sacramento Kings,96,85,0
Dallas Mavericks at Milwaukee Bucks,91 - 83,Dallas Mavericks,Milwaukee Bucks,91,83,0
Golden State Warriors at Memphis Grizzlies,90 - 108,Golden State Warriors,Memphis Grizzlies,90,108,1
Los Angeles Clippers at Houston Rockets,107 - 94,Los Angeles Clippers,Houston Rockets,107,94,0
Boston Celtics at Miami Heat,111 - 110,Boston Celtics,Miami Heat,111,110,0
Philadelphia 76ers at Cleveland Cavaliers,125 - 127,Philadelphia 76ers,Cleveland Cavaliers,125,127,1
Indiana Pacers at Brooklyn Nets,96 - 91,Indiana Pacers,Brooklyn Nets,96,91,0
Orlando Magic at Atlanta Hawks,94 - 104,Orlando Magic,Atlanta Hawks,94,104,1
Utah Jazz at Toronto Raptors,91 - 115,Utah Jazz,Toronto Raptors,91,115,1
Minnesota Timberwolves at Los Angeles Lakers,113 - 90,Minnesota Timberwolves,Los Angeles Lakers,113,90,0
New Orleans Pelicans at Phoenix Suns,94 - 101,New Orleans Pelicans,Phoenix Suns,94,101,1
Washington Wizards at Oklahoma City Thunder,105 - 106,Washington Wizards,Oklahoma City Thunder,105,106,1
San Antonio Spurs at New York Knicks,120 - 89,San Antonio Spurs,New York Knicks,120,89,0
Minnesota Timberwolves at Los Angeles Clippers,107 - 109,Minnesota Timberwolves,Los Angeles Clippers,107,109,1
Detroit Pistons at Portland Trail Blazers,103 - 109,Detroit Pistons,Portland Trail Blazers,103,109,1
Denver Nuggets at Utah Jazz,100 - 81,Denver Nuggets,Utah Jazz,100,81,0
Toronto Raptors at Houston Rockets,104 - 110,Toronto Raptors,Houston Rockets,104,110,1
Cleveland Cavaliers at Chicago Bulls,81 - 96,Cleveland Cavaliers,Chicago Bulls,81,96,1
Orlando Magic at Boston Celtics,105 - 120,Orlando Magic,Boston Celtics,105,120,1
San Antonio Spurs at Philadelphia 76ers,109 - 85,San Antonio Spurs,Philadelphia 76ers,109,85,0
Memphis Grizzlies at Indiana Pacers,79 - 95,Memphis Grizzlies,Indiana Pacers,79,95,1
Atlanta Hawks at Charlotte Bobcats,103 - 94,Atlanta Hawks,Charlotte Bobcats,103,94,0
New Orleans Pelicans at Los Angeles Lakers,95 - 116,New Orleans Pelicans,Los Angeles Lakers,95,116,1
Detroit Pistons at Golden State Warriors,95 - 113,Detroit Pistons,Golden State Warriors,95,113,1
Washington Wizards at Dallas Mavericks,95 - 105,Washington Wizards,Dallas Mavericks,95,105,1
Milwaukee Bucks at Miami Heat,95 - 118,Milwaukee Bucks,Miami Heat,95,118,1
Oklahoma City Thunder at Los Angeles Clippers,103 - 111,Oklahoma City Thunder,Los Angeles Clippers,103,111,1
Brooklyn Nets at Sacramento Kings,86 - 107,Brooklyn Nets,Sacramento Kings,86,107,1
Phoenix Suns at Portland Trail Blazers,89 - 90,Phoenix Suns,Portland Trail Blazers,89,90,1
New Orleans Pelicans at Utah Jazz,105 - 111,New Orleans Pelicans,Utah Jazz,105,111,1
Los Angeles Lakers at Denver Nuggets,99 - 111,Los Angeles Lakers,Denver Nuggets,99,111,1
Washington Wizards at San Antonio Spurs,79 - 92,Washington Wizards,San Antonio Spurs,79,92,1
New York Knicks at Atlanta Hawks,95 - 91,New York Knicks,Atlanta Hawks,95,91,0
Cleveland Cavaliers at Minnesota Timberwolves,95 - 124,Cleveland Cavaliers,Minnesota Timberwolves,95,124,1
Toronto Raptors at Memphis Grizzlies,103 - 87,Toronto Raptors,Memphis Grizzlies,103,87,0
Charlotte Bobcats at Boston Celtics,89 - 83,Charlotte Bobcats,Boston Celtics,89,83,0
Houston Rockets at Philadelphia 76ers,117 - 123,Houston Rockets,Philadelphia 76ers,117,123,1
Milwaukee Bucks at Orlando Magic,91 - 94,Milwaukee Bucks,Orlando Magic,91,94,1
Oklahoma City Thunder at Golden State Warriors,115 - 116,Oklahoma City Thunder,Golden State Warriors,115,116,1
Houston Rockets at New York Knicks,109 - 106,Houston Rockets,New York Knicks,109,106,0
Detroit Pistons at Sacramento Kings,97 - 90,Detroit Pistons,Sacramento Kings,97,90,0
Memphis Grizzlies at Los Angeles Lakers,89 - 86,Memphis Grizzlies,Los Angeles Lakers,89,86,0
San Antonio Spurs at Utah Jazz,91 - 82,San Antonio Spurs,Utah Jazz,91,82,0
Brooklyn Nets at Phoenix Suns,100 - 98,Brooklyn Nets,Phoenix Suns,100,98,0
Minnesota Timberwolves at Denver Nuggets,113 - 117,Minnesota Timberwolves,Denver Nuggets,113,117,1
Dallas Mavericks at Miami Heat,104 - 110,Dallas Mavericks,Miami Heat,104,110,1
Charlotte Bobcats at Cleveland Cavaliers,86 - 80,Charlotte Bobcats,Cleveland Cavaliers,86,80,0
Portland Trail Blazers at Boston Celtics,109 - 96,Portland Trail Blazers,Boston Celtics,109,96,0
Philadelphia 76ers at Atlanta Hawks,103 - 113,Philadelphia 76ers,Atlanta Hawks,103,113,1
Chicago Bulls at Toronto Raptors,96 - 80,Chicago Bulls,Toronto Raptors,96,80,0
Milwaukee Bucks at Indiana Pacers,77 - 104,Milwaukee Bucks,Indiana Pacers,77,104,1
Philadelphia 76ers at New Orleans Pelicans,98 - 135,Philadelphia 76ers,New Orleans Pelicans,98,135,1
Oklahoma City Thunder at Milwaukee Bucks,92 - 79,Oklahoma City Thunder,Milwaukee Bucks,92,79,0
Utah Jazz at Golden State Warriors,88 - 102,Utah Jazz,Golden State Warriors,88,102,1
Brooklyn Nets at Los Angeles Clippers,103 - 110,Brooklyn Nets,Los Angeles Clippers,103,110,1
Boston Celtics at Minnesota Timberwolves,88 - 106,Boston Celtics,Minnesota Timberwolves,88,106,1
Denver Nuggets at Houston Rockets,111 - 122,Denver Nuggets,Houston Rockets,111,122,1
Indiana Pacers at Chicago Bulls,94 - 110,Indiana Pacers,Chicago Bulls,94,110,1
Atlanta Hawks at New York Knicks,110 - 90,Atlanta Hawks,New York Knicks,110,90,0
Cleveland Cavaliers at Washington Wizards,103 - 96,Cleveland Cavaliers,Washington Wizards,103,96,0
Dallas Mavericks at Orlando Magic,108 - 100,Dallas Mavericks,Orlando Magic,108,100,0
Miami Heat at Charlotte Bobcats,97 - 81,Miami Heat,Charlotte Bobcats,97,81,0
Detroit Pistons at Los Angeles Lakers,99 - 114,Detroit Pistons,Los Angeles Lakers,99,114,1
Memphis Grizzlies at Sacramento Kings,97 - 86,Memphis Grizzlies,Sacramento Kings,97,86,0
Portland Trail Blazers at Toronto Raptors,118 - 110,Portland Trail Blazers,Toronto Raptors,118,110,0
Portland Trail Blazers at Brooklyn Nets,108 - 98,Portland Trail Blazers,Brooklyn Nets,108,98,0
Charlotte Bobcats at Chicago Bulls,81 - 86,Charlotte Bobcats,Chicago Bulls,81,86,1
Denver Nuggets at Oklahoma City Thunder,113 - 115,Denver Nuggets,Oklahoma City Thunder,113,115,1
Philadelphia 76ers at Dallas Mavericks,94 - 97,Philadelphia 76ers,Dallas Mavericks,94,97,1
Golden State Warriors at Utah Jazz,98 - 87,Golden State Warriors,Utah Jazz,98,87,0
Memphis Grizzlies at Los Angeles Clippers,106 - 102,Memphis Grizzlies,Los Angeles Clippers,106,102,0
Phoenix Suns at Sacramento Kings,104 - 107,Phoenix Suns,Sacramento Kings,104,107,1
Boston Celtics at Houston Rockets,85 - 109,Boston Celtics,Houston Rockets,85,109,1
Atlanta Hawks at Miami Heat,88 - 104,Atlanta Hawks,Miami Heat,88,104,1
New York Knicks at Detroit Pistons,86 - 92,New York Knicks,Detroit Pistons,86,92,1
Minnesota Timberwolves at Washington Wizards,100 - 104,Minnesota Timberwolves,Washington Wizards,100,104,1
Memphis Grizzlies at Golden State Warriors,88 - 81,Memphis Grizzlies,Golden State Warriors,88,81,0
Houston Rockets at Dallas Mavericks,120 - 123,Houston Rockets,Dallas Mavericks,120,123,1
Sacramento Kings at Phoenix Suns,113 - 106,Sacramento Kings,Phoenix Suns,113,106,0
Boston Celtics at San Antonio Spurs,93 - 104,Boston Celtics,San Antonio Spurs,93,104,1
Utah Jazz at New Orleans Pelicans,98 - 105,Utah Jazz,New Orleans Pelicans,98,105,1
Los Angeles Clippers at Minnesota Timberwolves,102 - 98,Los Angeles Clippers,Minnesota Timberwolves,102,98,0
Portland Trail Blazers at Milwaukee Bucks,91 - 82,Portland Trail Blazers,Milwaukee Bucks,91,82,0
Detroit Pistons at Atlanta Hawks,85 - 93,Detroit Pistons,Atlanta Hawks,85,93,1
Toronto Raptors at Philadelphia 76ers,108 - 98,Toronto Raptors,Philadelphia 76ers,108,98,0
Miami Heat at Orlando Magic,120 - 92,Miami Heat,Orlando Magic,120,92,0
Indiana Pacers at New York Knicks,103 - 96,Indiana Pacers,New York Knicks,103,96,0
Washington Wizards at Cleveland Cavaliers,98 - 91,Washington Wizards,Cleveland Cavaliers,98,91,0
Brooklyn Nets at Charlotte Bobcats,91 - 95,Brooklyn Nets,Charlotte Bobcats,91,95,1
Chicago Bulls at Denver Nuggets,87 - 97,Chicago Bulls,Denver Nuggets,87,97,1
Los Angeles Clippers at Oklahoma City Thunder,91 - 105,Los Angeles Clippers,Oklahoma City Thunder,91,105,1
Golden State Warriors at Los Angeles Lakers,95 - 102,Golden State Warriors,Los Angeles Lakers,95,102,1
Chicago Bulls at Portland Trail Blazers,95 - 98,Chicago Bulls,Portland Trail Blazers,95,98,1
Utah Jazz at Dallas Mavericks,93 - 103,Utah Jazz,Dallas Mavericks,93,103,1
Cleveland Cavaliers at New Orleans Pelicans,100 - 104,Cleveland Cavaliers,New Orleans Pelicans,100,104,1
Brooklyn Nets at Minnesota Timberwolves,81 - 111,Brooklyn Nets,Minnesota Timberwolves,81,111,1
San Antonio Spurs at Memphis Grizzlies,102 - 86,San Antonio Spurs,Memphis Grizzlies,102,86,0
Atlanta Hawks at Detroit Pistons,96 - 89,Atlanta Hawks,Detroit Pistons,96,89,0
Indiana Pacers at Boston Celtics,97 - 82,Indiana Pacers,Boston Celtics,97,82,0
Washington Wizards at Toronto Raptors,88 - 96,Washington Wizards,Toronto Raptors,88,96,1
Milwaukee Bucks at Philadelphia 76ers,107 - 115,Milwaukee Bucks,Philadelphia 76ers,107,115,1
Phoenix Suns at Charlotte Bobcats,98 - 91,Phoenix Suns,Charlotte Bobcats,98,91,0
Charlotte Bobcats at Milwaukee Bucks,96 - 72,Charlotte Bobcats,Milwaukee Bucks,96,72,0
Cleveland Cavaliers at San Antonio Spurs,96 - 126,Cleveland Cavaliers,San Antonio Spurs,96,126,1
Dallas Mavericks at Denver Nuggets,100 - 102,Dallas Mavericks,Denver Nuggets,100,102,1
Portland Trail Blazers at Golden State Warriors,113 - 101,Portland Trail Blazers,Golden State Warriors,113,101,0
Minnesota Timberwolves at Houston Rockets,101 - 112,Minnesota Timberwolves,Houston Rockets,101,112,1
Orlando Magic at Miami Heat,99 - 101,Orlando Magic,Miami Heat,99,101,1
Boston Celtics at Atlanta Hawks,94 - 87,Boston Celtics,Atlanta Hawks,94,87,0
New York Knicks at Washington Wizards,89 - 98,New York Knicks,Washington Wizards,89,98,1
Philadelphia 76ers at Indiana Pacers,98 - 106,Philadelphia 76ers,Indiana Pacers,98,106,1
Sacramento Kings at Los Angeles Clippers,102 - 103,Sacramento Kings,Los Angeles Clippers,102,103,1
Sacramento Kings at Los Angeles Lakers,86 - 100,Sacramento Kings,Los Angeles Lakers,86,100,1
Utah Jazz at Oklahoma City Thunder,73 - 95,Utah Jazz,Oklahoma City Thunder,73,95,1
Phoenix Suns at Orlando Magic,104 - 96,Phoenix Suns,Orlando Magic,104,96,0
Chicago Bulls at Los Angeles Clippers,82 - 121,Chicago Bulls,Los Angeles Clippers,82,121,1
Detroit Pistons at Brooklyn Nets,109 - 97,Detroit Pistons,Brooklyn Nets,109,97,0
New York Knicks at Portland Trail Blazers,91 - 102,New York Knicks,Portland Trail Blazers,91,102,1
Chicago Bulls at Utah Jazz,83 - 89,Chicago Bulls,Utah Jazz,83,89,1
New Orleans Pelicans at San Antonio Spurs,93 - 112,New Orleans Pelicans,San Antonio Spurs,93,112,1
Denver Nuggets at Dallas Mavericks,110 - 96,Denver Nuggets,Dallas Mavericks,110,96,0
Houston Rockets at Memphis Grizzlies,93 - 86,Houston Rockets,Memphis Grizzlies,93,86,0
Phoenix Suns at Miami Heat,92 - 107,Phoenix Suns,Miami Heat,92,107,1
Milwaukee Bucks at Detroit Pistons,94 - 113,Milwaukee Bucks,Detroit Pistons,94,113,1
Minnesota Timberwolves at Indiana Pacers,84 - 98,Minnesota Timberwolves,Indiana Pacers,84,98,1
Boston Celtics at Charlotte Bobcats,96 - 86,Boston Celtics,Charlotte Bobcats,96,86,0
Golden State Warriors at New Orleans Pelicans,102 - 101,Golden State Warriors,New Orleans Pelicans,102,101,0
Orlando Magic at Atlanta Hawks,109 - 92,Orlando Magic,Atlanta Hawks,109,92,0
Los Angeles Lakers at Washington Wizards,111 - 116,Los Angeles Lakers,Washington Wizards,111,116,1
Brooklyn Nets at Toronto Raptors,102 - 100,Brooklyn Nets,Toronto Raptors,102,100,0
New York Knicks at Los Angeles Clippers,80 - 93,New York Knicks,Los Angeles Clippers,80,93,1
Portland Trail Blazers at Phoenix Suns,106 - 120,Portland Trail Blazers,Phoenix Suns,106,120,1
Golden State Warriors at Dallas Mavericks,99 - 103,Golden State Warriors,Dallas Mavericks,99,103,1
San Antonio Spurs at Oklahoma City Thunder,88 - 94,San Antonio Spurs,Oklahoma City Thunder,88,94,1
