matchup,score,away,home,away_score,home_score,home_win
Toronto Raptors at Phoenix Suns,97 - 106,Toronto Raptors,Phoenix Suns,97,106,1
Oklahoma City Thunder at New Orleans Pelicans,109 - 95,Oklahoma City Thunder,New Orleans Pelicans,109,95,0
Golden State Warriors at Houston Rockets,83 - 105,Golden State Warriors,Houston Rockets,83,105,1
Orlando Magic at New York Knicks,83 - 121,Orlando Magic,New York Knicks,83,121,1
Denver Nuggets at Boston Celtics,98 - 106,Denver Nuggets,Boston Celtics,98,106,1
Cleveland Cavaliers at Atlanta Hawks,89 - 108,Cleveland Cavaliers,Atlanta Hawks,89,108,1
Milwaukee Bucks at Washington Wizards,109 - 105,Milwaukee Bucks,Washington Wizards,109,105,0
Philadelphia 76ers at Charlotte Bobcats,88 - 105,Philadelphia 76ers,Charlotte Bobcats,88,105,1
Dallas Mavericks at Portland Trail Blazers,108 - 106,Dallas Mavericks,Portland Trail Blazers,108,106,0
Sacramento Kings at Utah Jazz,112 - 102,Sacramento Kings,Utah Jazz,112,102,0
Indiana Pacers at San Antonio Spurs,111 - 100,Indiana Pacers,San Antonio Spurs,111,100,0
Brooklyn Nets at Milwaukee Bucks,90 - 82,Brooklyn Nets,Milwaukee Bucks,90,82,0
Miami Heat at Minnesota Timberwolves,103 - 82,Miami Heat,Minnesota Timberwolves,103,82,0
Golden State Warriors at Memphis Grizzlies,108 - 82,Golden State Warriors,Memphis Grizzlies,108,82,0
Detroit Pistons at Chicago Bulls,92 - 75,Detroit Pistons,Chicago Bulls,92,75,0
Los Angeles Clippers at Cleveland Cavaliers,82 - 88,Los Angeles Clippers,Cleveland Cavaliers,82,88,1
Denver Nuggets at Philadelphia 76ers,103 - 92,Denver Nuggets,Philadelphia 76ers,103,92,0
Toronto Raptors at Los Angeles Lakers,106 - 94,Toronto Raptors,Los Angeles Lakers,106,94,0
Indiana Pacers at Oklahoma City Thunder,94 - 118,Indiana Pacers,Oklahoma City Thunder,94,118,1
Orlando Magic at Houston Rockets,88 - 98,Orlando Magic,Houston Rockets,88,98,1
Miami Heat at Detroit Pistons,110 - 95,Miami Heat,Detroit Pistons,110,95,0
Boston Celtics at New York Knicks,114 - 73,Boston Celtics,New York Knicks,114,73,0
Dallas Mavericks at Sacramento Kings,97 - 112,Dallas Mavericks,Sacramento Kings,97,112,1
Portland Trail Blazers at Utah Jazz,105 - 94,Portland Trail Blazers,Utah Jazz,105,94,0
Orlando Magic at Memphis Grizzlies,85 - 94,Orlando Magic,Memphis Grizzlies,85,94,1
Denver Nuggets at Washington Wizards,75 - 74,Denver Nuggets,Washington Wizards,75,74,0
Los Angeles Clippers at Philadelphia 76ers,94 - 83,Los Angeles Clippers,Philadelphia 76ers,94,83,0
Golden State Warriors at Charlotte Bobcats,111 - 115,Golden State Warriors,Charlotte Bobcats,111,115,1
Phoenix Suns at Los Angeles Lakers,114 - 108,Phoenix Suns,Los Angeles Lakers,114,108,0
Milwaukee Bucks at Chicago Bulls,78 - 74,Milwaukee Bucks,Chicago Bulls,78,74,0
Minnesota Timberwolves at Detroit Pistons,121 - 94,Minnesota Timberwolves,Detroit Pistons,121,94,0
Boston Celtics at Brooklyn Nets,96 - 104,Boston Celtics,Brooklyn Nets,96,104,1
Oklahoma City Thunder at Atlanta Hawks,101 - 92,Oklahoma City Thunder,Atlanta Hawks,101,92,0
San Antonio Spurs at Toronto Raptors,116 - 103,San Antonio Spurs,Toronto Raptors,116,103,0
Miami Heat at Indiana Pacers,84 - 90,Miami Heat,Indiana Pacers,84,90,1
New York Knicks at Cleveland Cavaliers,94 - 109,New York Knicks,Cleveland Cavaliers,94,109,1
Dallas Mavericks at Golden State Warriors,93 - 95,Dallas Mavericks,Golden State Warriors,93,95,1
Utah Jazz at Sacramento Kings,122 - 101,Utah Jazz,Sacramento Kings,122,101,0
Chicago Bulls at New York Knicks,78 - 83,Chicago Bulls,New York Knicks,78,83,1
Detroit Pistons at New Orleans Pelicans,106 - 111,Detroit Pistons,New Orleans Pelicans,106,111,1
